#k-distance eigenvalue[eV]
2.40564332 -7.86360000
2.43985986 -7.87010000
2.47407639 -7.87590000
2.50829292 -7.88080000
2.50829292 -7.88080000
2.54324089 -7.88040000
2.57818885 -7.87940000
2.61313681 -7.87780000
2.64808477 -7.87580000
2.68303274 -7.87330000
2.71798070 -7.87080000
2.75292865 -7.86850000
2.78787662 -7.86700000
2.82282458 -7.86640000

0.00000000 -7.63640000
0.03310860 -7.63640000
0.06621719 -7.63820000
0.09932579 -7.64470000
0.13243438 -7.64660000
0.16554298 -7.65760000
0.19865158 -7.66950000
0.23176017 -7.68160000
0.26486877 -7.69340000
0.29797736 -7.70470000
0.33108595 -7.71500000
0.36419454 -7.72440000
0.39730314 -7.73260000
0.43041174 -7.73960000
0.46352033 -7.74550000
0.49662893 -7.75020000
0.52973752 -7.75390000
0.56284612 -7.75640000
0.59595472 -7.75790000
0.62906331 -7.75840000
0.62906331 -7.75840000
0.66613123 -7.75820000
0.70319913 -7.75760000
0.74026705 -7.75680000
0.77733496 -7.75550000
0.81440287 -7.75400000
0.85147078 -7.75200000
0.85147078 -7.75190000
0.88324328 -7.74990000
0.91501577 -7.74760000
0.94678827 -7.74500000
0.97856076 -7.74210000
1.01033326 -7.73890000
1.04210575 -7.73530000
1.07387825 -7.73160000
1.10565075 -7.72730000
1.13742324 -7.72280000
1.16919574 -7.71790000
1.20096823 -7.71260000
1.23274072 -7.70690000
1.26451321 -7.70080000
1.29628571 -7.69450000
1.32805821 -7.68780000
1.35983070 -7.68070000
1.39160320 -7.67340000
1.42337569 -7.66440000
1.45514819 -7.64300000
1.48692068 -7.63690000
1.51869318 -7.63640000
1.51869318 -7.63640000
1.55073934 -7.63870000
1.58278551 -7.64620000
1.61483167 -7.66130000
1.64687784 -7.66700000
1.67892400 -7.67260000
1.71097017 -7.67780000
1.74301633 -7.68290000
1.77506251 -7.68770000
1.80710867 -7.69210000
1.83915484 -7.69610000
1.87120100 -7.69960000
1.90324717 -7.70280000
1.93529333 -7.70530000
1.96733950 -7.70740000
1.99938566 -7.70890000
2.03143183 -7.70990000
2.06347799 -7.71040000
2.06347799 -7.71040000
2.09769453 -7.71170000
2.13191106 -7.71490000
2.16612759 -7.71830000
2.20034413 -7.72100000
2.23456066 -7.72230000
2.26877720 -7.72210000
2.30299372 -7.72010000
2.33721025 -7.71660000
2.37142679 -7.71180000
2.40564332 -7.70580000
2.43985986 -7.69860000
