#k-distance eigenvalue[eV]

0.00000000 -8.73970000
0.04350851 -8.73940000
0.08701702 -8.73780000
0.13052553 -8.73440000
0.17403404 -8.72920000
0.21754255 -8.72270000
0.26105106 -8.71490000
0.30455957 -8.70640000
0.34806808 -8.69750000
0.39157659 -8.68860000
0.43508511 -8.68000000
0.47859362 -8.67210000
0.52210213 -8.66490000
0.56561064 -8.65850000
0.60911915 -8.65290000
0.65262766 -8.64820000
0.69613617 -8.64460000
0.73964468 -8.64190000
0.78315319 -8.64000000
0.82666170 -8.63860000
0.87017021 -8.63840000
0.87017021 -8.63840000
0.91584230 -8.63780000
0.96151439 -8.63630000
1.00718648 -8.63810000
1.05285857 -8.64240000
1.09853067 -8.64750000
1.14420276 -8.65220000
1.18987485 -8.65630000
1.23554694 -8.65950000
1.28121903 -8.66210000
1.32689112 -8.66370000
1.37256321 -8.66410000
1.37256321 -8.66410000
1.41442930 -8.66370000
1.45629536 -8.66280000
1.49816144 -8.66140000
1.54002753 -8.65970000
1.58189362 -8.65800000
1.62375970 -8.65650000
1.66562579 -8.65530000
1.70749188 -8.65520000
1.74935797 -8.65540000
1.79122405 -8.65650000
1.83309011 -8.65890000
1.87495620 -8.66270000
1.91682228 -8.66800000
1.95868837 -8.67800000
2.00055446 -8.68870000
2.04242054 -8.69870000
2.08428663 -8.70800000
2.12615272 -8.71660000
2.16801881 -8.72380000
2.20988486 -8.73010000
2.25175095 -8.73490000
2.29361704 -8.73800000
2.33548312 -8.73940000
2.37734921 -8.73970000
2.37734921 -8.73970000
2.42368800 -8.73820000
2.47002679 -8.73220000
2.51636558 -8.72860000
2.56270437 -8.72600000
2.60904316 -8.72280000
2.65538195 -8.71910000
2.70172074 -8.71470000
