  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    0.826  -13.2882     0.014     0.042     0.548
    0.815  -13.2969     0.012     0.042     0.548
    0.803  -13.3050     0.012     0.042     0.544
    0.791  -13.3126     0.012     0.042     0.544
    0.780  -13.3198     0.012     0.042     0.544
    0.768  -13.3264     0.012     0.042     0.544
    0.756  -13.3326     0.012     0.044     0.544
    0.745  -13.3382     0.012     0.044     0.544
    0.733  -13.3433     0.012     0.044     0.544
    0.721  -13.3479     0.012     0.044     0.544
    0.710  -13.3519     0.012     0.044     0.544
    0.698  -13.3554     0.012     0.044     0.544
    0.686  -13.3584     0.012     0.044     0.544
    0.674  -13.3608     0.012     0.044     0.544
    0.663  -13.3627     0.012     0.044     0.544
    0.651  -13.3641     0.012     0.044     0.544
    0.639  -13.3649     0.012     0.044     0.544
    0.628  -13.3652     0.012     0.044     0.542
    0.628  -13.3652     0.012     0.044     0.542
    0.595  -13.2971     0.012     0.044     0.544
    0.562  -13.2296     0.012     0.044     0.552
    0.529  -13.1634     0.012     0.040     0.552
    0.496  -13.0992     0.012     0.040     0.560
    0.463  -13.0378     0.012     0.040     0.560
    0.430  -12.9800     0.012     0.036     0.568
    0.396  -12.9264     0.014     0.036     0.576
    0.363  -12.8774     0.014     0.036     0.576
    0.330  -12.8332     0.016     0.032     0.584
    0.297  -12.7939     0.016     0.032     0.584
    0.264  -12.7595     0.018     0.028     0.592
    0.231  -12.7299     0.020     0.028     0.592
    0.198  -12.7047     0.020     0.024     0.592
    0.165  -12.6838     0.022     0.024     0.600
    0.132  -12.6669     0.022     0.024     0.600
    0.099  -12.6540     0.022     0.024     0.600
    0.066  -12.6448     0.024     0.020     0.600
    0.033  -12.6393     0.024     0.020     0.600
    0.000  -12.6375     0.024     0.020     0.600
 
# Band-Index    3
    0.000  -12.2282     0.022     0.015     0.630
    0.033  -12.2292     0.022     0.016     0.630
    0.066  -12.2321     0.022     0.016     0.628
    0.099  -12.2367     0.022     0.016     0.628
    0.132  -12.2430     0.022     0.016     0.628
    0.165  -12.2506     0.022     0.018     0.624
    0.198  -12.2592     0.022     0.018     0.624
    0.231  -12.2685     0.022     0.018     0.620
    0.264  -12.2783     0.022     0.018     0.620
    0.297  -12.2882     0.022     0.020     0.620
    0.330  -12.2980     0.022     0.020     0.620
    0.363  -12.3075     0.022     0.020     0.620
    0.396  -12.3163     0.022     0.020     0.616
    0.430  -12.3244     0.020     0.020     0.616
    0.463  -12.3315     0.020     0.022     0.616
    0.496  -12.3375     0.020     0.022     0.612
    0.529  -12.3423     0.020     0.022     0.612
    0.562  -12.3458     0.020     0.022     0.612
    0.595  -12.3480     0.020     0.022     0.612
    0.628  -12.3487     0.020     0.022     0.612
    0.628  -12.3487     0.020     0.022     0.612
    0.639  -12.3578     0.022     0.020     0.608
    0.651  -12.3758     0.026     0.020     0.612
    0.663  -12.3959     0.026     0.018     0.608
    0.674  -12.4165     0.028     0.018     0.608
    0.686  -12.4371     0.028     0.018     0.604
    0.698  -12.4575     0.028     0.018     0.604
    0.710  -12.4775     0.028     0.018     0.600
    0.721  -12.4971     0.030     0.018     0.596
    0.733  -12.5161     0.030     0.018     0.600
    0.745  -12.5344     0.030     0.018     0.596
    0.756  -12.5519     0.030     0.018     0.596
    0.768  -12.5686     0.030     0.018     0.592
    0.780  -12.5843     0.030     0.018     0.592
    0.791  -12.5990     0.032     0.018     0.588
    0.803  -12.6127     0.032     0.018     0.588
    0.815  -12.6251     0.032     0.018     0.588
    0.826  -12.6364     0.032     0.018     0.588
    0.838  -12.6464     0.032     0.018     0.588
    0.850  -12.6551     0.032     0.020     0.584
    0.850  -12.6551     0.032     0.020     0.584
    0.885  -12.6733     0.032     0.020     0.588
    0.920  -12.6798     0.032     0.020     0.584
    0.955  -12.6755     0.032     0.020     0.584
    0.990  -12.6616     0.030     0.020     0.584
