#k-distance eigenvalue[eV]
1.46044959 -15.69780000
1.49247482 -15.69500000
1.52450004 -15.69050000
1.55652527 -15.68420000
1.58855050 -15.67620000
1.62057572 -15.66650000
1.65260095 -15.65530000
1.68462618 -15.64270000
1.71665140 -15.62870000
1.74867663 -15.61370000
1.78070186 -15.59800000
1.81272708 -15.58210000
1.84475231 -15.56670000
1.87677754 -15.55310000
1.90880276 -15.54330000
1.94082799 -15.53960000
1.94082799 -15.53960000
1.97569264 -15.53980000
2.01055730 -15.54030000
2.04542194 -15.54120000
2.08028659 -15.54260000
2.11515125 -15.54460000
2.15001590 -15.54720000
2.18488054 -15.55080000
2.21974520 -15.55540000
2.25460985 -15.56140000
