     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -13.56672     0.07950     0.02397     0.02397     0.02397    49.31200    49.31200     0.92880    49.31200     0.92880   149.94501
   -13.56272     0.08186     0.02595     0.02595     0.02595    57.74400    57.74400     1.01600    57.74400     1.01600   175.42371
   -13.55872     0.09131     0.03026     0.03026     0.03026    73.92000    73.92000     1.18640    73.92000     1.18640   224.31488
   -13.55472     0.08883     0.03003     0.03003     0.03003    80.88000    80.88000     1.10176    80.88000     1.10176   245.02245
   -13.55072     0.07850     0.02462     0.02462     0.02462    82.35200    82.35200     1.23472    82.35200     1.23472   249.67781
   -13.54672     0.12918     0.02936     0.02936     0.02936   164.96000   164.96000     3.23360   164.96000     3.23360   501.56446
   -13.54272     0.04819     0.00798     0.00798     0.00798    69.87200    69.87200     1.37744    69.87200     1.37744   212.44300
   -13.53872     0.03877     0.00224     0.00224     0.00224    65.29600    65.29600     1.41088    65.29600     1.41088   198.75526
   -13.53472     0.03645     0.00044     0.00044     0.00044    75.76000    75.76000     1.87680    75.76000     1.87680   231.07137
   -13.53072     0.05157     0.00179     0.00179     0.00179   135.93600   135.93600     5.29600   135.93600     5.29600   418.45693
   -13.52672     0.13163     0.08701     0.08701     0.08701  1166.40000  1166.40000   100.38400  1166.40000   100.38400  3700.36066
   -13.52272     0.06210     0.03805     0.03805     0.03805   510.88000   510.88000    30.94400   510.88000    30.94400  1594.70424
   -13.51872     0.05272     0.03608     0.03608     0.03608   459.68000   459.68000    31.98400   459.68000    31.98400  1443.16896
   -13.51472     0.02752     0.02928     0.02928     0.02928   407.04000   407.04000    46.35200   407.04000    46.35200  1313.93936
   -13.51072     0.01850     0.02355     0.02355     0.02355   375.68000   375.68000    36.73600   375.68000    36.73600  1200.60115
   -13.50672     0.01560     0.02408     0.02408     0.02408   499.68000   499.68000    50.20800   499.68000    50.20800  1599.54384
   -13.50272     0.01891     0.02362     0.02362     0.02362   486.72000   486.72000    35.07200   486.72000    35.07200  1530.39376
   -13.49872     0.02762     0.02046     0.02046     0.02046   444.80000   444.80000    25.96800   444.80000    25.96800  1386.42501
   -13.49472     0.01781     0.01028     0.01028     0.01028   138.12800   138.12800     3.94880   138.12800     3.94880   422.33026
   -13.49072     0.11726     0.04469     0.04469     0.04469   710.72000   710.72000    12.46400   710.72000    12.46400  2157.33933
   -13.48672     0.29616     0.03155     0.03155     0.03155   845.28000   845.28000     7.82560   845.28000     7.82560  2551.88202
   -13.48272     0.03146     0.01072     0.01072     0.01072   149.12000   149.12000     2.64800   149.12000     2.64800   452.71963
   -13.47872     0.01835     0.00593     0.00593     0.00593    82.62400    82.62400     1.09072    82.62400     1.09072   250.08960
   -13.47472     0.01457     0.00550     0.00550     0.00550    74.81600    74.81600     0.90704    74.81600     0.90704   226.29315
   -13.47072     0.03870     0.01321     0.01321     0.01321   176.96000   176.96000     1.48128   176.96000     1.48128   533.92090
   -13.46672     0.04155     0.00956     0.00956     0.00956   142.33600   142.33600     0.91008   142.33600     0.91008   428.89839
   -13.46272     0.07102     0.01222     0.01222     0.01222   203.04000   203.04000     0.83056   203.04000     0.83056   610.88880
   -13.45872     0.07413     0.01755     0.01755     0.01755   263.68000   263.68000     0.69872   263.68000     0.69872   792.56422
   -13.45472     0.04291     0.01278     0.01278     0.01278   185.60000   185.60000     0.26608   185.60000     0.26608   557.41341
   -13.45072     0.04034     0.01187     0.01187     0.01187   176.16000   176.16000     0.13710   176.16000     0.13710   528.83014
   -13.44672     0.05702     0.01401     0.01401     0.01401   225.92000   225.92000     0.12662   225.92000     0.12662   678.11230
   -13.44272     0.03928     0.01254     0.01254     0.01254   211.84000   211.84000     0.19408   211.84000     0.19408   635.98507
