#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS: 140  40
# Band-Index    1
   3.54799    -15.831708  0.001  0.001  0.000  0.003  0.364  0.064  0.035  0.250  0.087  0.806
   3.60509    -15.842824  0.001  0.001  0.000  0.003  0.349  0.077  0.023  0.244  0.104  0.804
   3.66219    -15.851124  0.001  0.002  0.000  0.003  0.331  0.093  0.014  0.235  0.124  0.802
   3.71929    -15.856828  0.000  0.002  0.000  0.003  0.309  0.110  0.007  0.223  0.146  0.801
   3.77639    -15.860286  0.000  0.002  0.000  0.003  0.284  0.130  0.003  0.207  0.172  0.800
   3.83349    -15.861931  0.000  0.002  0.000  0.003  0.254  0.151  0.001  0.188  0.201  0.800
   3.89059    -15.862277  0.000  0.003  0.000  0.003  0.223  0.173  0.000  0.166  0.233  0.800
   3.89059    -15.862277  0.000  0.003  0.000  0.003  0.230  0.168  0.000  0.171  0.225  0.800
   3.91843    -15.862132  0.000  0.003  0.000  0.003  0.239  0.162  0.000  0.177  0.217  0.800
   3.94626    -15.861861  0.000  0.002  0.000  0.003  0.247  0.156  0.001  0.182  0.209  0.800
   3.97410    -15.861518  0.000  0.002  0.000  0.003  0.256  0.149  0.002  0.187  0.200  0.800
   4.00194    -15.861151  0.000  0.002  0.000  0.003  0.265  0.143  0.004  0.193  0.192  0.800
   4.02977    -15.860801  0.000  0.002  0.000  0.003  0.274  0.136  0.005  0.197  0.183  0.801
   4.05761    -15.860503  0.000  0.002  0.000  0.003  0.282  0.129  0.007  0.202  0.175  0.801
   4.08544    -15.860282  0.000  0.002  0.000  0.003  0.291  0.123  0.009  0.206  0.167  0.802
   4.11328    -15.860149  0.001  0.002  0.000  0.003  0.299  0.116  0.012  0.210  0.160  0.802
   4.14111    -15.860111  0.001  0.002  0.000  0.003  0.307  0.110  0.014  0.213  0.152  0.803
   4.16895    -15.860162  0.001  0.002  0.000  0.003  0.315  0.104  0.016  0.216  0.146  0.803
   4.19679    -15.860294  0.001  0.001  0.000  0.003  0.322  0.098  0.019  0.219  0.140  0.803
   4.22462    -15.860489  0.001  0.001  0.000  0.003  0.328  0.093  0.021  0.221  0.135  0.804
   4.25246    -15.860724  0.001  0.001  0.000  0.003  0.334  0.089  0.023  0.223  0.130  0.804
   4.28029    -15.860978  0.001  0.001  0.000  0.003  0.339  0.085  0.025  0.225  0.126  0.805
   4.30813    -15.861226  0.001  0.001  0.000  0.003  0.343  0.082  0.027  0.226  0.122  0.805
   4.33597    -15.861444  0.001  0.001  0.000  0.003  0.346  0.079  0.028  0.227  0.120  0.805
   4.36380    -15.861616  0.001  0.001  0.000  0.003  0.348  0.077  0.029  0.227  0.118  0.805
   4.39164    -15.861725  0.001  0.001  0.000  0.003  0.349  0.076  0.030  0.228  0.117  0.806
   4.41947    -15.861762  0.001  0.001  0.000  0.003  0.350  0.076  0.030  0.228  0.117  0.806
   4.41947    -15.861762  0.001  0.001  0.000  0.003  0.350  0.076  0.030  0.228  0.117  0.806
   4.46933    -15.860264  0.001  0.001  0.000  0.003  0.350  0.076  0.031  0.227  0.117  0.806
   4.51918    -15.855798  0.001  0.001  0.000  0.003  0.349  0.075  0.034  0.226  0.116  0.806
   4.56904    -15.848433  0.002  0.001  0.000  0.003  0.347  0.075  0.040  0.224  0.116  0.807
   4.61889    -15.838282  0.002  0.001  0.000  0.003  0.344  0.074  0.048  0.221  0.115  0.809
   4.66875    -15.825519  0.002  0.001  0.001  0.003  0.341  0.072  0.060  0.217  0.114  0.811
   4.71861    -15.810383  0.003  0.001  0.001  0.003  0.335  0.070  0.077  0.211  0.112  0.814
   4.76846    -15.793186  0.003  0.001  0.001  0.002  0.328  0.068  0.100  0.204  0.109  0.816
   4.81832    -15.774337  0.003  0.001  0.001  0.002  0.317  0.065  0.130  0.195  0.106  0.820
   4.86817    -15.754372  0.004  0.001  0.001  0.002  0.302  0.060  0.171  0.182  0.101  0.823
   4.91803    -15.733968  0.004  0.001  0.001  0.002  0.281  0.055  0.225  0.166  0.094  0.829
   4.96788    -15.713942  0.004  0.000  0.002  0.001  0.252  0.048  0.295  0.146  0.084  0.833
   5.01774    -15.695240  0.004  0.000  0.002  0.001  0.215  0.040  0.381  0.121  0.072  0.838
   5.06759    -15.678797  0.004  0.000  0.002  0.001  0.171  0.031  0.480  0.095  0.057  0.843
   5.11745    -15.665324  0.005  0.000  0.002  0.001  0.124  0.022  0.584  0.068  0.041  0.847
   5.16730    -15.655108  0.004  0.000  0.003  0.000  0.080  0.014  0.678  0.043  0.027  0.850
   5.21716    -15.647963  0.004  0.000  0.003  0.000  0.045  0.008  0.754  0.023  0.015  0.853
   5.26701    -15.643411  0.004  0.000  0.003  0.000  0.020  0.003  0.808  0.010  0.007  0.855
   5.31687    -15.640930  0.004  0.000  0.003  0.000  0.005  0.001  0.838  0.002  0.002  0.856
   5.36673    -15.640146  0.004  0.000  0.003  0.000  0.000  0.000  0.849  0.000  0.000  0.856
 
# Band-Index    2
   5.36673    -15.445570  0.000  0.000  0.000  0.000  0.730  0.013  0.000  0.170  0.054  0.966
   5.31687    -15.447554  0.000  0.000  0.000  0.000  0.578  0.046  0.011  0.138  0.193  0.964
   5.26701    -15.453167  0.000  0.000  0.000  0.000  0.548  0.046  0.043  0.138  0.183  0.959
   5.21716    -15.461449  0.001  0.000  0.000  0.000  0.500  0.046  0.100  0.137  0.167  0.951
   5.16730    -15.471029  0.001  0.000  0.000  0.000  0.439  0.044  0.179  0.132  0.146  0.942
   5.11745    -15.480446  0.002  0.000  0.000  0.000  0.370  0.040  0.277  0.121  0.123  0.933
   5.06759    -15.488553  0.002  0.000  0.000  0.000  0.297  0.036  0.383  0.107  0.099  0.926
   5.01774    -15.494798  0.002  0.000  0.000  0.000  0.233  0.031  0.483  0.093  0.078  0.919
   4.96788    -15.499224  0.002  0.000  0.001  0.000  0.177  0.026  0.568  0.080  0.059  0.914
   4.91803    -15.502237  0.002  0.000  0.001  0.000  0.133  0.024  0.633  0.072  0.044  0.910
   4.86817    -15.504370  0.002  0.000  0.001  0.000  0.102  0.022  0.678  0.066  0.034  0.905
   4.81832    -15.506124  0.002  0.000  0.001  0.000  0.079  0.021  0.706  0.064  0.026  0.900
   4.76846    -15.507867  0.001  0.000  0.001  0.000  0.064  0.022  0.719  0.066  0.021  0.896
   4.71861    -15.509798  0.001  0.000  0.001  0.000  0.055  0.023  0.721  0.070  0.018  0.891
   4.66875    -15.511958  0.001  0.000  0.001  0.000  0.051  0.025  0.715  0.075  0.017  0.886
   4.61889    -15.514239  0.001  0.000  0.001  0.000  0.049  0.027  0.706  0.081  0.016  0.882
   4.56904    -15.516422  0.001  0.000  0.001  0.000  0.050  0.029  0.693  0.087  0.017  0.877
   4.51918    -15.518239  0.002  0.000  0.001  0.000  0.051  0.031  0.682  0.092  0.017  0.874
   4.46933    -15.519447  0.002  0.000  0.001  0.000  0.052  0.031  0.675  0.094  0.017  0.872
   4.41947    -15.519872  0.002  0.000  0.001  0.000  0.052  0.032  0.672  0.096  0.018  0.872
   4.41947    -15.519872  0.002  0.000  0.001  0.000  0.052  0.032  0.672  0.096  0.018  0.872
   4.39164    -15.519717  0.002  0.000  0.001  0.000  0.052  0.031  0.673  0.094  0.018  0.871
   4.36380    -15.519258  0.002  0.000  0.001  0.000  0.051  0.031  0.676  0.094  0.017  0.872
   4.33597    -15.518510  0.001  0.000  0.001  0.000  0.050  0.031  0.682  0.091  0.017  0.873
   4.30813    -15.517497  0.001  0.000  0.001  0.000  0.048  0.030  0.689  0.088  0.016  0.874
   4.28029    -15.516252  0.001  0.000  0.001  0.000  0.046  0.029  0.697  0.085  0.016  0.876
   4.25246    -15.514814  0.001  0.000  0.001  0.000  0.043  0.028  0.707  0.080  0.016  0.877
   4.22462    -15.513226  0.001  0.000  0.001  0.000  0.041  0.027  0.719  0.075  0.015  0.879
   4.19679    -15.511535  0.001  0.000  0.001  0.000  0.037  0.025  0.731  0.070  0.014  0.881
   4.16895    -15.509791  0.001  0.000  0.001  0.000  0.034  0.024  0.744  0.064  0.013  0.884
   4.14111    -15.508042  0.001  0.000  0.001  0.000  0.031  0.023  0.758  0.058  0.013  0.885
   4.11328    -15.506335  0.001  0.000  0.001  0.000  0.028  0.021  0.770  0.053  0.012  0.887
   4.08544    -15.504716  0.001  0.000  0.001  0.000  0.025  0.021  0.783  0.047  0.011  0.889
   4.05761    -15.503225  0.001  0.000  0.001  0.000  0.023  0.019  0.794  0.042  0.011  0.891
   4.02977    -15.501898  0.001  0.000  0.001  0.000  0.020  0.018  0.804  0.036  0.011  0.892
   4.00194    -15.500767  0.001  0.000  0.001  0.000  0.017  0.018  0.813  0.032  0.009  0.894
   3.97410    -15.499853  0.001  0.000  0.001  0.000  0.015  0.018  0.820  0.029  0.010  0.894
   3.94626    -15.499174  0.001  0.000  0.001  0.000  0.013  0.018  0.825  0.026  0.009  0.895
   3.91843    -15.498740  0.001  0.000  0.001  0.000  0.012  0.019  0.828  0.023  0.010  0.895
   3.89059    -15.498548  0.001  0.000  0.001  0.000  0.011  0.020  0.830  0.021  0.010  0.895
   3.89059    -15.498548  0.001  0.000  0.001  0.000  0.010  0.022  0.830  0.020  0.011  0.895
   3.83349    -15.498855  0.001  0.000  0.001  0.000  0.014  0.016  0.828  0.026  0.008  0.896
   3.77639    -15.499918  0.001  0.000  0.001  0.000  0.020  0.013  0.820  0.033  0.006  0.895
   3.71929    -15.501416  0.001  0.000  0.001  0.000  0.027  0.010  0.810  0.040  0.004  0.894
   3.66219    -15.503009  0.001  0.000  0.001  0.000  0.034  0.009  0.799  0.046  0.003  0.894
   3.60509    -15.504405  0.001  0.000  0.001  0.000  0.042  0.007  0.788  0.051  0.003  0.894
   3.54799    -15.505430  0.001  0.000  0.001  0.000  0.051  0.007  0.779  0.054  0.003  0.895
   3.49089    -15.506017  0.001  0.000  0.001  0.000  0.062  0.006  0.768  0.056  0.002  0.897
   3.43379    -15.506168  0.001  0.000  0.001  0.000  0.078  0.005  0.754  0.059  0.002  0.900
   3.37669    -15.505870  0.001  0.000  0.001  0.000  0.099  0.006  0.733  0.062  0.002  0.903
   3.31959    -15.504998  0.001  0.000  0.001  0.000  0.130  0.005  0.699  0.069  0.001  0.906
   3.26249    -15.503250  0.002  0.000  0.001  0.000  0.174  0.005  0.648  0.080  0.001  0.910
   3.20539    -15.500123  0.002  0.000  0.001  0.000  0.236  0.005  0.575  0.097  0.000  0.915
   3.14829    -15.494987  0.002  0.000  0.000  0.000  0.317  0.005  0.477  0.117  0.000  0.920
   3.09119    -15.487356  0.002  0.000  0.000  0.000  0.418  0.005  0.361  0.142  0.001  0.927
   3.03410    -15.477352  0.002  0.000  0.000  0.000  0.527  0.004  0.240  0.163  0.001  0.937
   2.97700    -15.466110  0.001  0.000  0.000  0.000  0.629  0.003  0.136  0.177  0.001  0.947
   2.91990    -15.455658  0.000  0.000  0.000  0.000  0.712  0.001  0.059  0.183  0.000  0.956
   2.86280    -15.448245  0.000  0.000  0.000  0.000  0.765  0.000  0.014  0.183  0.000  0.964
   2.80570    -15.445570  0.000  0.000  0.000  0.000  0.730  0.012  0.000  0.170  0.053  0.966
   2.80570    -15.445570  0.000  0.000  0.000  0.000  0.730  0.012  0.000  0.170  0.053  0.966
   2.75645    -15.447554  0.000  0.000  0.000  0.000  0.578  0.046  0.011  0.138  0.193  0.964
   2.70721    -15.453167  0.000  0.000  0.000  0.000  0.548  0.046  0.043  0.138  0.183  0.959
   2.65797    -15.461451  0.001  0.000  0.000  0.000  0.500  0.046  0.100  0.137  0.167  0.951
   2.60872    -15.471030  0.001  0.000  0.000  0.000  0.439  0.044  0.179  0.132  0.146  0.942
   2.55948    -15.480449  0.002  0.000  0.000  0.000  0.370  0.040  0.277  0.121  0.123  0.933
   2.51024    -15.488562  0.002  0.000  0.000  0.000  0.297  0.036  0.383  0.107  0.099  0.926
   2.46099    -15.494813  0.002  0.000  0.000  0.000  0.233  0.031  0.483  0.093  0.078  0.919
   2.41175    -15.499245  0.002  0.000  0.001  0.000  0.177  0.026  0.568  0.080  0.059  0.914
   2.36251    -15.502267  0.002  0.000  0.001  0.000  0.133  0.024  0.633  0.072  0.044  0.909
   2.31326    -15.504413  0.002  0.000  0.001  0.000  0.102  0.022  0.678  0.066  0.034  0.905
   2.26402    -15.506178  0.002  0.000  0.001  0.000  0.080  0.021  0.706  0.064  0.027  0.900
   2.21478    -15.507929  0.001  0.000  0.001  0.000  0.064  0.022  0.719  0.066  0.021  0.896
   2.16553    -15.509872  0.001  0.000  0.001  0.000  0.055  0.023  0.721  0.070  0.018  0.891
   2.11629    -15.512042  0.001  0.000  0.001  0.000  0.051  0.025  0.715  0.075  0.017  0.886
   2.06705    -15.514329  0.001  0.000  0.001  0.000  0.049  0.026  0.705  0.080  0.016  0.881
   2.01780    -15.516516  0.001  0.000  0.001  0.000  0.050  0.029  0.693  0.087  0.017  0.877
   1.96856    -15.518335  0.002  0.000  0.001  0.000  0.051  0.030  0.682  0.091  0.017  0.874
   1.91932    -15.519543  0.002  0.000  0.001  0.000  0.052  0.031  0.675  0.094  0.017  0.872
   1.87007    -15.519967  0.002  0.000  0.001  0.000  0.052  0.032  0.672  0.095  0.018  0.871
   1.87007    -15.519967  0.002  0.000  0.001  0.000  0.052  0.032  0.672  0.095  0.018  0.871
   1.84081    -15.519796  0.002  0.000  0.001  0.000  0.052  0.031  0.673  0.094  0.018  0.871
   1.81154    -15.519289  0.002  0.000  0.001  0.000  0.051  0.031  0.677  0.094  0.017  0.872
   1.78228    -15.518464  0.001  0.000  0.001  0.000  0.049  0.031  0.683  0.091  0.017  0.873
   1.75302    -15.517348  0.001  0.000  0.001  0.000  0.048  0.030  0.690  0.088  0.016  0.874
   1.72375    -15.515984  0.001  0.000  0.001  0.000  0.045  0.028  0.699  0.083  0.016  0.876
   1.69449    -15.514415  0.001  0.000  0.001  0.000  0.043  0.028  0.711  0.078  0.016  0.878
   1.66522    -15.512696  0.001  0.000  0.001  0.000  0.040  0.026  0.723  0.073  0.015  0.880
   1.63596    -15.510883  0.001  0.000  0.001  0.000  0.036  0.025  0.736  0.067  0.014  0.882
   1.60670    -15.509031  0.001  0.000  0.001  0.000  0.033  0.023  0.750  0.062  0.013  0.884
   1.57743    -15.507199  0.001  0.000  0.001  0.000  0.029  0.022  0.764  0.056  0.012  0.886
   1.54817    -15.505441  0.001  0.000  0.001  0.000  0.026  0.021  0.777  0.050  0.012  0.888
   1.51890    -15.503805  0.001  0.000  0.001  0.000  0.024  0.019  0.790  0.044  0.011  0.891
   1.48964    -15.502338  0.001  0.000  0.001  0.000  0.021  0.018  0.801  0.039  0.011  0.892
   1.46038    -15.501075  0.001  0.000  0.001  0.000  0.018  0.019  0.811  0.033  0.009  0.893
   1.43111    -15.500051  0.001  0.000  0.001  0.000  0.015  0.018  0.819  0.029  0.010  0.894
   1.40185    -15.499284  0.001  0.000  0.001  0.000  0.014  0.019  0.824  0.027  0.009  0.895
   1.37258    -15.498787  0.001  0.000  0.001  0.000  0.012  0.019  0.828  0.023  0.009  0.895
   1.34332    -15.498559  0.001  0.000  0.001  0.000  0.011  0.020  0.830  0.022  0.010  0.895
   1.31406    -15.498588  0.001  0.000  0.001  0.000  0.010  0.022  0.830  0.020  0.011  0.896
   1.31406    -15.498588  0.001  0.000  0.001  0.000  0.012  0.019  0.830  0.023  0.009  0.896
   1.25838    -15.499262  0.001  0.000  0.001  0.000  0.017  0.014  0.825  0.030  0.007  0.895
   1.20271    -15.500533  0.001  0.000  0.001  0.000  0.022  0.011  0.816  0.037  0.005  0.895
   1.14704    -15.502080  0.001  0.000  0.001  0.000  0.029  0.010  0.805  0.044  0.003  0.894
   1.09137    -15.503596  0.001  0.000  0.001  0.000  0.037  0.008  0.794  0.049  0.003  0.894
   1.03570    -15.504849  0.001  0.000  0.001  0.000  0.045  0.006  0.785  0.053  0.003  0.895
   0.98003    -15.505713  0.001  0.000  0.001  0.000  0.055  0.006  0.775  0.055  0.003  0.895
   0.92435    -15.506156  0.001  0.000  0.001  0.000  0.066  0.006  0.764  0.057  0.002  0.898
   0.86868    -15.506181  0.001  0.000  0.001  0.000  0.083  0.005  0.749  0.059  0.002  0.901
   0.81301    -15.505753  0.001  0.000  0.001  0.000  0.105  0.005  0.725  0.064  0.002  0.904
   0.75734    -15.504723  0.001  0.000  0.001  0.000  0.139  0.005  0.689  0.071  0.001  0.907
   0.70167    -15.502763  0.002  0.000  0.001  0.000  0.185  0.005  0.635  0.083  0.000  0.911
   0.64600    -15.499374  0.002  0.000  0.001  0.000  0.248  0.005  0.559  0.100  0.000  0.916
   0.59033    -15.493977  0.002  0.000  0.000  0.000  0.332  0.005  0.461  0.121  0.000  0.922
   0.53465    -15.486179  0.002  0.000  0.000  0.000  0.430  0.005  0.346  0.145  0.001  0.929
   0.47898    -15.476206  0.001  0.000  0.000  0.000  0.537  0.004  0.229  0.165  0.001  0.938
   0.42331    -15.465230  0.001  0.000  0.000  0.000  0.636  0.003  0.129  0.177  0.001  0.948
   0.36764    -15.455175  0.000  0.000  0.000  0.000  0.715  0.001  0.056  0.183  0.000  0.957
   0.31197    -15.448112  0.000  0.000  0.000  0.000  0.766  0.000  0.014  0.183  0.000  0.964
