#k-distance eigenvalue[eV]
4.18320879 -16.60420000
4.23758671 -16.60440000
4.29196465 -16.60470000
4.34634257 -16.60530000
4.40072049 -16.60610000
4.40072049 -16.60610000
4.44498198 -16.60690000
4.48924346 -16.60760000
4.53350495 -16.60840000
4.57776643 -16.60890000
4.62202793 -16.60950000
4.66628940 -16.61010000
4.71055090 -16.61070000
4.75481237 -16.61100000
4.79907387 -16.61120000
4.84333535 -16.61160000
4.88759684 -16.61170000
4.93185832 -16.61180000
4.97611981 -16.61180000
5.02038129 -16.61190000

0.00000000 -16.60190000
0.04406171 -16.60180000
0.08812342 -16.60110000
0.13218513 -16.60000000
0.17624684 -16.59880000
0.22030856 -16.59740000
0.26437027 -16.59560000
0.30843198 -16.59360000
0.35249369 -16.59130000
0.39655540 -16.58860000
0.44061710 -16.58570000
0.48467881 -16.58250000
0.52874052 -16.57900000
0.57280223 -16.57530000
0.61686394 -16.57140000
0.66092565 -16.56770000
0.70498736 -16.56390000
0.74904907 -16.56080000
0.79311079 -16.55860000
0.83717250 -16.55780000
0.83717250 -16.55780000
0.88748512 -16.55780000
0.93779772 -16.55780000
0.98811034 -16.55780000
1.03842296 -16.55780000
1.08873557 -16.55760000
1.13904819 -16.55760000
1.13904819 -16.55760000
1.18458437 -16.55810000
1.23012055 -16.55960000
1.27565673 -16.56170000
1.32119292 -16.56400000
1.36672910 -16.56630000
1.41226528 -16.56850000
1.45780144 -16.57040000
1.50333762 -16.57200000
1.54887381 -16.57320000
1.59440999 -16.57410000
1.63994617 -16.57460000
1.68548235 -16.57490000
1.73101854 -16.57510000
1.73101854 -16.57510000
1.77531841 -16.57550000
1.81961830 -16.57670000
1.86391817 -16.57860000
1.90821805 -16.58090000
1.95251793 -16.58350000
1.99681781 -16.58620000
2.04111768 -16.58900000
2.08541757 -16.59150000
2.12971744 -16.59400000
2.17401732 -16.59620000
2.21831720 -16.59820000
2.26261708 -16.59970000
2.30691695 -16.60100000
2.35121684 -16.60190000
2.39551671 -16.60190000
2.39551671 -16.60190000
2.43864182 -16.60160000
2.48176691 -16.60100000
2.52489201 -16.59950000
2.56801710 -16.59750000
2.61114221 -16.59470000
2.65426730 -16.59140000
2.69739240 -16.58740000
2.74051751 -16.58270000
2.78364260 -16.57800000
2.82676770 -16.57250000
2.86989279 -16.56660000
2.91301790 -16.56020000
2.95614299 -16.55360000
2.99926809 -16.54860000
2.99926809 -16.54860000
3.04795325 -16.54840000
3.09663838 -16.54780000
3.14532354 -16.54780000
3.19400870 -16.54860000
3.24269385 -16.55030000
3.29137899 -16.55230000
3.34006414 -16.55470000
3.38874930 -16.55750000
3.43743443 -16.56070000
3.43743443 -16.56070000
3.48130351 -16.56390000
3.52517261 -16.56710000
3.56904169 -16.57050000
3.61291076 -16.57390000
3.65677984 -16.57710000
3.70064891 -16.58030000
3.74451799 -16.58350000
3.78838709 -16.58660000
3.83225616 -16.58930000
3.87612524 -16.59200000
3.91999431 -16.59440000
3.96386339 -16.59650000
4.00773247 -16.59830000
4.05160157 -16.59980000
4.09547064 -16.60090000
4.13933972 -16.60190000
4.18320879 -16.60190000
4.18320879 -16.55780000
4.23758671 -16.55770000
4.29196465 -16.55710000
4.34634257 -16.55610000
4.40072049 -16.55480000
4.40072049 -16.55480000
4.44498198 -16.55370000
4.48924346 -16.55250000
4.53350495 -16.55130000
4.57776643 -16.55000000
4.62202793 -16.54870000
4.66628940 -16.54770000
4.71055090 -16.54680000
4.75481237 -16.54590000
4.79907387 -16.54540000
4.84333535 -16.54580000
4.88759684 -16.54690000
4.93185832 -16.54770000
4.97611981 -16.54840000
5.02038129 -16.54860000

0.00000000 -16.46590000
0.04406171 -16.46590000
0.08812342 -16.46610000
0.13218513 -16.46620000
0.17624684 -16.46640000
0.22030856 -16.46680000
0.26437027 -16.46750000
0.30843198 -16.46880000
0.35249369 -16.47070000
0.39655540 -16.47380000
0.44061710 -16.47820000
0.48467881 -16.48310000
0.52874052 -16.48830000
0.57280223 -16.49370000
0.61686394 -16.49900000
0.66092565 -16.50430000
0.70498736 -16.50880000
0.74904907 -16.51270000
0.79311079 -16.51530000
0.83717250 -16.51630000
0.83717250 -16.51630000
0.88748512 -16.51630000
0.93779772 -16.51630000
0.98811034 -16.51630000
1.03842296 -16.51620000
1.08873557 -16.51610000
1.13904819 -16.51610000
1.13904819 -16.51610000
1.18458437 -16.51550000
1.23012055 -16.51410000
1.27565673 -16.51210000
1.32119292 -16.50960000
1.36672910 -16.50710000
1.41226528 -16.50480000
1.45780144 -16.50280000
1.50333762 -16.50110000
1.54887381 -16.49980000
1.59440999 -16.49890000
1.63994617 -16.49820000
1.68548235 -16.49770000
1.73101854 -16.49760000
1.73101854 -16.49760000
1.77531841 -16.49700000
1.81961830 -16.49540000
1.86391817 -16.49290000
1.90821805 -16.48970000
1.95251793 -16.48610000
1.99681781 -16.48230000
2.04111768 -16.47870000
2.08541757 -16.47520000
2.12971744 -16.47250000
2.17401732 -16.47030000
2.21831720 -16.46860000
2.26261708 -16.46740000
2.30691695 -16.46660000
2.35121684 -16.46610000
2.39551671 -16.46590000
2.39551671 -16.46590000
2.43864182 -16.46650000
2.48176691 -16.46840000
2.52489201 -16.47140000
2.56801710 -16.47570000
2.61114221 -16.48080000
2.65426730 -16.48680000
2.69739240 -16.49330000
2.74051751 -16.50030000
2.78364260 -16.50780000
2.82676770 -16.51540000
2.86989279 -16.52320000
2.91301790 -16.53080000
2.95614299 -16.53820000
2.99926809 -16.54350000
2.99926809 -16.54350000
3.04795325 -16.54360000
3.09663838 -16.54350000
3.14532354 -16.54290000
3.19400870 -16.54120000
3.24269385 -16.53840000
3.29137899 -16.53500000
3.34006414 -16.53090000
3.38874930 -16.52630000
3.43743443 -16.52130000
3.43743443 -16.52130000
3.48130351 -16.51660000
3.52517261 -16.51150000
3.56904169 -16.50620000
3.61291076 -16.50070000
3.65677984 -16.49500000
3.70064891 -16.48920000
3.74451799 -16.48370000
3.78838709 -16.47840000
3.83225616 -16.47370000
3.87612524 -16.47010000
3.91999431 -16.46800000
3.96386339 -16.46710000
4.00773247 -16.46650000
4.05160157 -16.46630000
4.09547064 -16.46600000
4.13933972 -16.46590000
4.18320879 -16.46590000
4.18320879 -16.51630000
4.23758671 -16.51690000
4.29196465 -16.51840000
4.34634257 -16.52040000
4.40072049 -16.52300000
4.40072049 -16.52300000
4.44498198 -16.52550000
4.48924346 -16.52800000
4.53350495 -16.53060000
4.57776643 -16.53290000
4.62202793 -16.53540000
4.66628940 -16.53770000
4.71055090 -16.54000000
4.75481237 -16.54200000
4.79907387 -16.54390000
4.84333535 -16.54450000
4.88759684 -16.54410000
4.93185832 -16.54360000
4.97611981 -16.54360000
5.02038129 -16.54350000

0.00000000 -16.44270000
0.04406171 -16.44310000
0.08812342 -16.44430000
0.13218513 -16.44600000
0.17624684 -16.44840000
0.22030856 -16.45130000
0.26437027 -16.45460000
0.30843198 -16.45790000
0.35249369 -16.46080000
0.39655540 -16.46270000
0.44061710 -16.46400000
0.48467881 -16.46480000
0.52874052 -16.46530000
0.57280223 -16.46570000
0.61686394 -16.46600000
0.66092565 -16.46640000
0.70498736 -16.46640000
0.74904907 -16.46660000
0.79311079 -16.46660000
0.83717250 -16.46680000
0.83717250 -16.46680000
0.88748512 -16.46670000
0.93779772 -16.46680000
0.98811034 -16.46690000
1.03842296 -16.46690000
1.08873557 -16.46690000
1.13904819 -16.46690000
1.13904819 -16.46690000
1.18458437 -16.46680000
1.23012055 -16.46640000
1.27565673 -16.46590000
1.32119292 -16.46510000
1.36672910 -16.46400000
1.41226528 -16.46300000
1.45780144 -16.46220000
