#k-distance eigenvalue[eV]
0.04165291 -7.42170000
0.08330584 -7.42100000
0.12495874 -7.41990000
0.16661165 -7.41830000
0.20826455 -7.41610000
0.24991748 -7.41390000
0.29157039 -7.41110000
0.33322329 -7.40830000
0.37487622 -7.40510000
0.41652913 -7.40200000
0.45818204 -7.39840000
0.49983494 -7.39480000
0.54148787 -7.39090000
0.58314078 -7.38710000
0.62479368 -7.38320000
0.66644661 -7.37930000
0.70809952 -7.37570000
0.74975242 -7.37200000
0.79140533 -7.36860000
0.83305826 -7.36540000
0.87471117 -7.33840000
0.91636407 -7.30350000
0.95801700 -7.26700000
0.99966991 -7.22930000
1.04132281 -7.19500000
1.08297572 -7.16700000
1.12462865 -7.14840000
1.16628155 -7.14210000
1.16628155 -7.14210000
1.21209742 -7.13870000
1.25791329 -7.13080000
1.30372915 -7.11760000
1.34954502 -7.10030000
1.39536089 -7.08100000
1.44117676 -7.06090000
1.48699261 -7.04200000
1.53280848 -7.02640000
1.57862435 -7.01770000
1.57862435 -7.01770000
1.62128050 -7.01700000
1.66393666 -7.02590000
1.70659281 -7.04540000
1.74924896 -7.07560000
1.79190510 -7.11530000
1.83456125 -7.16230000
1.87721741 -7.21180000
1.91987356 -7.25990000
1.96252971 -7.30080000
2.00518587 -7.33140000
2.04784202 -7.35260000
2.09049817 -7.36700000
2.13315433 -7.37740000
2.17581048 -7.38540000
2.21846662 -7.39200000
2.26112277 -7.39750000
2.30377892 -7.40220000
2.34643508 -7.40600000
2.38909123 -7.40940000
2.43174738 -7.41220000
2.47440353 -7.41440000
2.51705969 -7.41640000
2.55971584 -7.41810000
2.60237199 -7.41930000
2.64502813 -7.42030000
2.68768428 -7.42100000
2.73034044 -7.42150000
2.77299659 -7.42180000
2.81565274 -7.42190000
2.81565274 -7.42190000
2.85773730 -7.42190000
2.89982187 -7.42210000
2.94190643 -7.42240000
2.98399098 -7.42240000
3.02607555 -7.42280000
3.06816011 -7.42310000
3.11024466 -7.42300000
3.15232923 -7.42260000
3.19441379 -7.42260000
3.23649834 -7.42220000
3.27858292 -7.42110000
3.32066747 -7.41990000
3.36275202 -7.41860000
3.40483660 -7.41630000
3.44692115 -7.41390000
3.48900571 -7.41160000
3.53109028 -7.40880000
3.57317483 -7.40600000
3.61525939 -7.40330000
3.65734396 -7.35470000
3.69942852 -7.29010000
3.74151307 -7.23330000
3.78359764 -7.19450000
3.82568220 -7.18050000
3.82568220 -7.18050000
3.86908669 -7.17910000
3.91249121 -7.17490000
3.95589570 -7.16850000
3.99930022 -7.16010000
4.04270471 -7.15010000
4.08610923 -7.13910000
4.12951372 -7.12730000
4.17291824 -7.11430000
4.21632273 -7.10040000
4.25972726 -7.08550000
4.30313175 -7.06960000
4.34653627 -7.05280000
4.38994076 -7.03580000
4.43334528 -7.01870000
4.47674977 -7.00280000
4.52015429 -6.98870000
4.56355878 -6.97770000
4.60696330 -6.97060000
4.65036779 -6.96820000
4.65036779 -6.96820000
4.69522478 -6.97040000
4.74008176 -6.97740000
4.78493875 -6.98880000
4.82979573 -7.00400000
4.87465272 -7.02230000
4.91950970 -7.04220000
4.96436666 -7.06290000
5.00922365 -7.08330000
5.05408063 -7.10220000
5.09893761 -7.11850000
5.14379460 -7.13100000
