     #Energy            s           py          pz          px          dxy         dyz         dz2         dxz         dx2-y2      tot    
    # PDOS obtained from EIGENVAL and PROCAR files
   -13.06736     0.05683     0.01489     0.01072     0.01453     0.00000     0.00000     0.38444     0.00000     0.22095     0.70581
   -13.05737     0.05651     0.01659     0.01358     0.01603     0.00000     0.00000     0.42578     0.00000     0.24578     0.77775
   -13.04737     0.06061     0.01913     0.01720     0.01886     0.00000     0.00000     0.48243     0.00000     0.30600     0.90848
   -13.03738     0.06322     0.02064     0.02060     0.02082     0.00000     0.00000     0.52176     0.00000     0.36757     1.01987
   -13.02738     0.06502     0.02136     0.02378     0.02213     0.00000     0.00000     0.54689     0.00000     0.43211     1.11778
   -13.01739     0.06638     0.02145     0.02675     0.02291     0.00000     0.00000     0.55973     0.00000     0.49992     1.20504
   -13.00739     0.06736     0.02099     0.02952     0.02320     0.00000     0.00000     0.56165     0.00000     0.56951     1.28163
   -12.99740     0.06796     0.02008     0.03209     0.02307     0.00000     0.00000     0.55392     0.00000     0.63922     1.34725
   -12.98740     0.06818     0.01881     0.03446     0.02256     0.00000     0.00000     0.53784     0.00000     0.70740     1.40159
   -12.97741     0.06804     0.01726     0.03666     0.02171     0.00000     0.00000     0.51470     0.00000     0.77238     1.44433
   -12.96741     0.06747     0.01552     0.03867     0.02057     0.00000     0.00000     0.48518     0.00000     0.83254     1.47454
   -12.95742     0.06629     0.01369     0.04052     0.01921     0.00000     0.00000     0.44828     0.00000     0.88655     1.48972
   -12.94742     0.07853     0.01220     0.06155     0.02622     0.00000     0.00000     0.53452     0.00000     1.38825     2.13310
   -12.93743     0.07490     0.02172     0.10954     0.02046     0.00000     0.00000     0.42940     0.00000     1.84707     2.52298
   -12.92743     0.07233     0.02559     0.12946     0.01752     0.00000     0.00000     0.44537     0.00000     2.09454     2.80065
   -12.91744     0.07331     0.02725     0.14109     0.01639     0.00000     0.00000     0.57537     0.00000     2.36615     3.21959
   -12.90744     0.07682     0.02720     0.14782     0.01827     0.00000     0.00000     0.82540     0.00000     2.71635     3.84325
   -12.89745     0.07893     0.02131     0.13591     0.01567     0.00000     0.00000     0.71623     0.00000     2.48897     3.48020
   -12.88745     0.08810     0.02036     0.12689     0.01627     0.00000     0.00000     0.82973     0.00000     2.49446     3.60038
   -12.87746     0.09720     0.01928     0.12332     0.01590     0.00000     0.00000     0.91345     0.00000     2.52288     3.71580
   -12.86746     0.10670     0.01766     0.11689     0.01483     0.00000     0.00000     0.93045     0.00000     2.44564     3.65241
   -12.85747     0.11200     0.01540     0.10675     0.01297     0.00000     0.00000     0.87278     0.00000     2.22530     3.35967
   -12.84747     0.11641     0.01349     0.09418     0.01139     0.00000     0.00000     0.79215     0.00000     1.94292     2.97932
   -12.83748     0.12248     0.01346     0.07837     0.01157     0.00000     0.00000     0.82058     0.00000     1.68349     2.73636
   -12.82748     0.12979     0.01325     0.06288     0.01166     0.00000     0.00000     0.86514     0.00000     1.47653     2.56431
   -12.81749     0.13478     0.01060     0.05841     0.00952     0.00000     0.00000     0.82218     0.00000     1.46163     2.50281
   -12.80749     0.13671     0.01155     0.04047     0.01063     0.00000     0.00000     0.84697     0.00000     1.18333     2.23633
   -12.79750     0.12694     0.00941     0.02861     0.00861     0.00000     0.00000     0.74412     0.00000     0.97234     1.89852
   -12.78750     0.11362     0.00715     0.01971     0.00652     0.00000     0.00000     0.63523     0.00000     0.79774     1.58963
   -12.77751     0.09829     0.00455     0.01298     0.00409     0.00000     0.00000     0.52248     0.00000     0.65937     1.31268
   -12.76751     0.08341     0.00138     0.00810     0.00108     0.00000     0.00000     0.40999     0.00000     0.56724     1.08413
   -12.75752     0.07537    -0.00035     0.00594    -0.00053     0.00000     0.00000     0.33848     0.00000     0.48867     0.91913
   -12.74752     0.03878    -0.00012     0.00144    -0.00020     0.00000     0.00000     0.17902     0.00000     0.19859     0.42109
   -12.73753     0.01415    -0.00003     0.00021    -0.00006     0.00000     0.00000     0.06344     0.00000     0.06296     0.14120
   -12.72753     0.00260    -0.00001     0.00001    -0.00001     0.00000     0.00000     0.00993     0.00000     0.01312     0.02555
   -12.71754     0.00059    -0.00000    -0.00000    -0.00001     0.00000     0.00000     0.00238     0.00000     0.00269     0.00561
   -12.70754     0.00006    -0.00000    -0.00000    -0.00000     0.00000     0.00000     0.00025     0.00000     0.00025     0.00056
   -12.69755     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.68755     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.67756     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.66756     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.65757     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.64757     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.63758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.62758     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.61759     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.60759     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.59760     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -12.58760     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
