     #Energy            s           py          pz          px          dxy         dyz         dz2         dxz         dx2-y2      tot    
    # PDOS obtained from EIGENVAL and PROCAR files
   -14.24677     2.14585     0.00000    -0.00025     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.16158
   -14.23678     2.06657     0.00000    -0.00019     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     2.08102
   -14.22678     1.93433     0.00000    -0.00014     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.94720
   -14.21679     1.73399     0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.74510
   -14.20679     1.70520     0.00000    -0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.71604
   -14.19680     1.60549     0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.61565
   -14.18680     1.52244     0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.53214
   -14.17681     1.45618     0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.46555
   -14.16681     1.40680     0.00000    -0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.41597
   -14.15682     1.37343     0.00000    -0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.38246
   -14.14682     1.35289     0.00000    -0.00012     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.36181
   -14.13683     1.33580     0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.34462
   -14.12683     1.30370     0.00000    -0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.31246
   -14.11684     1.26762     0.00000    -0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.27635
   -14.10684     1.23834     0.00000    -0.00010     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.24712
   -14.09685     1.21593     0.00000    -0.00009     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.22485
   -14.08685     1.20045     0.00000    -0.00008     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.20963
   -14.07686     1.19194     0.00000    -0.00007     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.20155
   -14.06686     1.19047     0.00000    -0.00006     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.20069
   -14.05687     1.19609     0.00000    -0.00005     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.20714
   -14.04687     1.20885     0.00000    -0.00003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.22099
   -14.03688     1.08283     0.00000    -0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.09476
   -14.02688     1.13223     0.00000    -0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.14484
   -14.01689     1.07401     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     1.08510
   -14.00689     0.80646     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.81347
   -13.99690     0.58000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.58409
   -13.98690     0.39016     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.39227
   -13.97691     0.23734     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.23825
   -13.96691     0.12196     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.12223
   -13.95692     0.06218     0.00000     0.00000     0.00015     0.00000     0.00000     0.00000     0.00000     0.00000     0.06232
   -13.94692     1.80136     0.00000     0.00000     0.01295     0.00000     0.00000     0.00000     0.00000     0.00000     1.81387
   -13.93693    26.67525     0.00000     0.00000     0.07514     0.00000     0.00000     0.00000     0.00000     0.00000    26.85712
   -13.92693     9.44836     0.00000     0.00000     0.02118     0.00000     0.00000     0.00000     0.00000     0.00000     9.50883
   -13.91694     6.93589     0.00000     0.00000     0.01125     0.00000     0.00000     0.00000     0.00000     0.00000     6.97790
   -13.90694     6.92241     0.00000     0.00000     0.00746     0.00000     0.00000     0.00000     0.00000     0.00000     6.96314
   -13.89695     6.84399     0.00000     0.00000     0.00477     0.00000     0.00000     0.00000     0.00000     0.00000     6.88240
   -13.88695     6.72112     0.00000     0.00000     0.00300     0.00000     0.00000     0.00000     0.00000     0.00000     6.75674
   -13.87696     6.55332     0.00000     0.00000     0.00194     0.00000     0.00000     0.00000     0.00000     0.00000     6.58608
