     #Energy            s           py          pz          px          dxy         dyz         dz2         dxz         dx2-y2      tot    
    # PDOS obtained from EIGENVAL and PROCAR files
   -13.18730     0.04654     0.03691     0.01177     0.01713     0.02950     0.03600     0.00000     0.07562     0.00000     0.25537
   -13.17731     0.04864     0.03695     0.01075     0.02043     0.02633     0.04343     0.00000     0.07650     0.00000     0.26426
   -13.16731     0.04707     0.03570     0.00919     0.02315     0.02189     0.05009     0.00000     0.07524     0.00000     0.26304
   -13.15732     0.04466     0.03374     0.00772     0.02556     0.01769     0.05617     0.00000     0.07259     0.00000     0.25836
   -13.14732     0.04373     0.03193     0.00689     0.02857     0.01516     0.06337     0.00000     0.07020     0.00000     0.25949
   -13.13733     0.04087     0.02785     0.00669     0.02942     0.01465     0.06553     0.00000     0.06254     0.00000     0.24631
   -13.12733     0.03587     0.02267     0.00685     0.02788     0.01551     0.06218     0.00000     0.05190     0.00000     0.22078
   -13.11734     0.02916     0.02406     0.00788     0.03580     0.01923     0.08225     0.00000     0.05889     0.00000     0.25318
   -13.10734     0.02355     0.02204     0.01365     0.03782     0.03357     0.08676     0.00000     0.05881     0.00000     0.26925
   -13.09735     0.02187     0.01818     0.01738     0.02855     0.04252     0.06402     0.00000     0.04931     0.00000     0.23463
   -13.08735     0.02191     0.01597     0.01669     0.01773     0.04090     0.03848     0.00000     0.04048     0.00000     0.18675
   -13.07736     0.02130     0.01390     0.01720     0.01543     0.04384     0.03320     0.00000     0.03442     0.00000     0.17321
   -13.06736     0.01915     0.01039     0.01333     0.01107     0.03356     0.02391     0.00000     0.02543     0.00000     0.13258
   -13.05737     0.02232     0.01124     0.01579     0.01177     0.04123     0.02544     0.00000     0.02690     0.00000     0.14937
   -13.04737     0.02727     0.01298     0.01842     0.01408     0.04972     0.03079     0.00000     0.03051     0.00000     0.17737
   -13.03738     0.03304     0.01441     0.02017     0.01616     0.05573     0.03571     0.00000     0.03335     0.00000     0.20179
   -13.02738     0.03939     0.01565     0.02113     0.01817     0.05951     0.04055     0.00000     0.03580     0.00000     0.22358
   -13.01739     0.04603     0.01679     0.02140     0.02015     0.06129     0.04545     0.00000     0.03809     0.00000     0.24320
   -13.00739     0.05271     0.01783     0.02106     0.02206     0.06130     0.05034     0.00000     0.04027     0.00000     0.26059
   -12.99740     0.05918     0.01877     0.02021     0.02387     0.05978     0.05514     0.00000     0.04238     0.00000     0.27567
   -12.98740     0.06518     0.01962     0.01896     0.02555     0.05697     0.05978     0.00000     0.04447     0.00000     0.28837
   -12.97741     0.07046     0.02038     0.01738     0.02705     0.05312     0.06417     0.00000     0.04656     0.00000     0.29859
   -12.96741     0.07471     0.02106     0.01556     0.02834     0.04842     0.06823     0.00000     0.04869     0.00000     0.30613
   -12.95742     0.07746     0.02165     0.01350     0.02940     0.04292     0.07193     0.00000     0.05094     0.00000     0.31051
   -12.94742     0.13498     0.03102     0.01099     0.04817     0.04411     0.11150     0.00000     0.06222     0.00000     0.45538
   -12.93743     0.12020     0.03860     0.01944     0.05975     0.05317     0.15979     0.00000     0.09844     0.00000     0.54729
   -12.92743     0.13485     0.04060     0.02555     0.06096     0.06348     0.17572     0.00000     0.11670     0.00000     0.61217
   -12.91744     0.18574     0.04044     0.03283     0.05939     0.08116     0.18277     0.00000     0.12795     0.00000     0.70773
   -12.90744     0.27444     0.03996     0.04104     0.05584     0.10593     0.18448     0.00000     0.13889     0.00000     0.84910
   -12.89745     0.22733     0.04039     0.03416     0.05194     0.09002     0.17152     0.00000     0.13897     0.00000     0.76514
   -12.88745     0.24835     0.04069     0.03175     0.04936     0.08935     0.16709     0.00000     0.14322     0.00000     0.78919
   -12.87746     0.26525     0.04129     0.02978     0.04775     0.08855     0.16549     0.00000     0.14836     0.00000     0.81276
   -12.86746     0.25364     0.04217     0.02645     0.04686     0.08296     0.16220     0.00000     0.15074     0.00000     0.79479
   -12.85747     0.20813     0.04239     0.02379     0.04519     0.07681     0.15276     0.00000     0.14742     0.00000     0.72499
   -12.84747     0.14507     0.04277     0.02254     0.04362     0.07271     0.14131     0.00000     0.14241     0.00000     0.63446
   -12.83748     0.11645     0.04107     0.02273     0.03989     0.07415     0.12507     0.00000     0.13289     0.00000     0.57552
   -12.82748     0.10047     0.03858     0.02306     0.03599     0.07719     0.11054     0.00000     0.12325     0.00000     0.53177
   -12.81749     0.08762     0.03880     0.02029     0.03668     0.07113     0.11400     0.00000     0.12491     0.00000     0.51451
   -12.80749     0.06109     0.03515     0.02362     0.03312     0.07718     0.09887     0.00000     0.10815     0.00000     0.45096
   -12.79750     0.04010     0.03093     0.02138     0.02934     0.06712     0.08664     0.00000     0.09335     0.00000     0.37717
   -12.78750     0.02724     0.02688     0.01833     0.02523     0.05569     0.07434     0.00000     0.07981     0.00000     0.31195
   -12.77751     0.02223     0.02284     0.01459     0.02088     0.04301     0.06231     0.00000     0.06737     0.00000     0.25505
   -12.76751     0.02455     0.01884     0.01031     0.01684     0.02943     0.05218     0.00000     0.05656     0.00000     0.20896
   -12.75752     0.01863     0.01426     0.00870     0.01540     0.02477     0.04938     0.00000     0.04361     0.00000     0.17434
   -12.74752     0.00445     0.00509     0.00572     0.00728     0.01655     0.02273     0.00000     0.01561     0.00000     0.07724
   -12.73753     0.00014     0.00167     0.00220     0.00238     0.00638     0.00733     0.00000     0.00515     0.00000     0.02521
   -12.72753    -0.00004     0.00056     0.00028     0.00030     0.00081     0.00092     0.00000     0.00170     0.00000     0.00454
   -12.71754    -0.00001     0.00009     0.00006     0.00010     0.00022     0.00026     0.00000     0.00027     0.00000     0.00099
   -12.70754    -0.00000     0.00001     0.00001     0.00001     0.00003     0.00003     0.00000     0.00002     0.00000     0.00010
